iter	RMSE
0	13.66829984
1	13.22072877
2	12.76511703
3	12.36105325
4	11.98223896
5	11.61236119
6	11.2399161
7	10.87527041
8	10.51178455
9	10.1933391
10	9.901917416
11	9.611079511
12	9.314985536
13	9.006508576
14	8.715715275
15	8.441413833
16	8.167598052
17	7.92373813
18	7.695511692
19	7.469590897
20	7.252136764
21	7.037840442
22	6.809695714
23	6.604174439
24	6.406604631
25	6.213098918
26	6.036424665
27	5.849222604
28	5.673106997
29	5.507543632
30	5.331703184
31	5.169237199
32	5.026676594
33	4.874998401
34	4.733766421
35	4.586295858
36	4.442468291
37	4.310294068
38	4.182567424
39	4.053494091
40	3.937991616
41	3.830481035
42	3.731087804
43	3.631592033
44	3.528391989
45	3.426690571
46	3.327054905
47	3.22634078
48	3.135587741
49	3.040630067
50	2.95247816
51	2.869670555
52	2.788159537
53	2.714408826
54	2.637316283
55	2.568732581
56	2.50813092
57	2.43644471
58	2.372528884
59	2.304913427
60	2.242584206
61	2.18672018
62	2.124845414
63	2.06899067
64	2.017473169
65	1.966146807
66	1.915458261
67	1.870636489
68	1.823199028
69	1.775569188
70	1.732623282
71	1.687785346
72	1.645509709
73	1.608572891
74	1.571462855
75	1.535295287
76	1.501973006
77	1.469229801
78	1.435378109
79	1.40085932
80	1.371236758
81	1.340818198
82	1.309262908
83	1.277943591
84	1.247947566
85	1.221353409
86	1.195894982
87	1.168439353
88	1.144173033
89	1.12117934
90	1.099158997
91	1.075491785
92	1.054353092
93	1.03567653
94	1.016333236
95	0.997433568
96	0.9775060538
97	0.9568935123
98	0.9391013232
99	0.9212923422
100	0.902518122
101	0.8854922255
102	0.870819497
103	0.8561275315
104	0.8429783353
105	0.8279180329
106	0.8139257001
107	0.7995389756
108	0.7871037385
109	0.7747980711
110	0.7629782564
111	0.7509745332
112	0.7392194893
113	0.7284150362
114	0.7163602367
115	0.7062890342
116	0.6957717868
117	0.6869797482
118	0.6784677871
119	0.6707662014
120	0.6627444888
121	0.6539988606
122	0.6451434569
123	0.639200066
124	0.6319162776
125	0.6237163504
126	0.6162203597
127	0.6081786157
128	0.6010287012
129	0.5950677109
130	0.5887922776
131	0.58360435
132	0.5790013511
133	0.573261143
134	0.566939864
135	0.561702567
136	0.5562219118
137	0.5526964933
138	0.547737321
139	0.5426041637
140	0.5378806877
141	0.5328713626
142	0.5289270429
143	0.5271374687
144	0.5250430622
145	0.5236685917
146	0.519989898
147	0.5175971217
148	0.51593016
149	0.5148012328
150	0.5132992443
151	0.5120620925
152	0.5083341134
153	0.5051757872
154	0.5016263158
155	0.5002497127
156	0.4990398308
157	0.4970271875
158	0.4930163674
159	0.4892463962
160	0.4880093815
161	0.4846385676
162	0.4826602447
163	0.4814220964
164	0.479688766
165	0.47738783
166	0.4737307164
167	0.4726279864
168	0.4716722979
169	0.4703710521
170	0.4691839625
171	0.4660683957
172	0.4624550813
173	0.4605104258
174	0.4576290407
175	0.456724704
176	0.4541551044
177	0.4532837221
178	0.4507980407
179	0.4483033329
180	0.4458696857
181	0.4449911518
182	0.4439775365
183	0.4431762481
184	0.4424895748
185	0.4398512779
186	0.4389420826
187	0.4364048521
188	0.4353102842
189	0.4343080483
190	0.4336102791
191	0.4317892467
192	0.4295848467
193	0.4287968369
194	0.4264105989
195	0.4254641028
196	0.4234046176
197	0.4227630826
198	0.4220634408
199	0.4213152542
200	0.4205300299
201	0.4197652729
202	0.4191017619
203	0.41837439
204	0.4176658967
205	0.4150953494
206	0.4145868733
207	0.413960405
208	0.4133076132
209	0.4128050308
210	0.4123888007
211	0.4119096223
212	0.4095682303
213	0.4080404615
214	0.4075843719
215	0.4068215645
216	0.4062597974
217	0.4054216014
218	0.4050012968
219	0.404200572
220	0.4037981172
221	0.4032117066
222	0.4027195021
223	0.4009369166
224	0.4004638494
225	0.4000542557
226	0.3981714863
227	0.3960650911
228	0.3944265065
229	0.3930871888
230	0.3924560194
231	0.3921004781
232	0.3916952187
233	0.391300505
234	0.3909160409
235	0.3891846242
236	0.3888144427
237	0.3884917522
238	0.3881904749
239	0.3868739005
240	0.3851260086
241	0.3847913861
242	0.3836039949
243	0.3818403437
244	0.3815246874
245	0.3812171843
246	0.3798625535
247	0.3786324865
248	0.3781800434
249	0.3764735211
250	0.3761910181
251	0.37599495
252	0.3757755094
253	0.3740409105
254	0.3727675072
255	0.3711562104
256	0.3696715348
257	0.36793456
258	0.3669301018
259	0.3667178733
260	0.3664743835
261	0.3654776338
262	0.364543188
263	0.3636198175
264	0.3625838431
265	0.3611609226
266	0.3609417687
267	0.3599242721
268	0.3585230142
269	0.3576328871
270	0.3560767007
271	0.3558720331
272	0.3556727881
273	0.3554788089
274	0.355118738
275	0.3535317791
276	0.3533486423
277	0.3524524357
278	0.3517431461
279	0.3502416094
280	0.3493772732
281	0.3481103433
282	0.3479429129
283	0.3477799286
284	0.3466605741
285	0.3456687589
286	0.345015591
287	0.344863176
288	0.3441024082
289	0.3439566468
290	0.3427937647
291	0.3414164334
292	0.3407065841
293	0.3394466844
294	0.338741522
295	0.3380281256
296	0.3378964402
297	0.3373143609
298	0.3371876639
299	0.3364909685
300	0.3358664235
301	0.3345942371
302	0.334475439
303	0.3343598289
304	0.3342473127
305	0.3332314714
306	0.333122718
307	0.3318282353
308	0.3309020541
309	0.3300664172
310	0.3294618205
311	0.3293595795
312	0.3292601015
313	0.328915343
314	0.3277551845
315	0.3276607729
316	0.3275689073
317	0.327045959
318	0.3262174335
319	0.3251271705
320	0.3240870441
321	0.3232855246
322	0.3225634295
323	0.3216922494
324	0.3208851582
325	0.3197378102
326	0.318739982
327	0.3178859456
328	0.3171023089
329	0.3165459591
330	0.3159507172
331	0.3149118579
332	0.3143569108
333	0.3138523509
334	0.31377825
335	0.3126916076
336	0.3117232208
337	0.3116552447
338	0.3107419174
339	0.3102648043
340	0.3093261897
341	0.3090997965
342	0.3080724777
343	0.3074038295
344	0.3065423539
345	0.3064756029
346	0.3056633787
347	0.3049406538
348	0.3042307666
349	0.3032869665
350	0.302570002
351	0.3016737018
352	0.3009079068
353	0.300253417
354	0.2990759992
355	0.298519877
356	0.2977484092
357	0.2970106987
358	0.296430126
359	0.2959335379
360	0.2950402506
361	0.294261347
362	0.2936272348
363	0.2930329681
364	0.2922523546
365	0.2915736315
366	0.2907953006
367	0.289778653
368	0.2891329653
369	0.2886020665
370	0.287908369
371	0.2874107998
372	0.2866822952
373	0.2861247098
374	0.2851278678
375	0.2845242945
376	0.2840124702
377	0.2835122757
378	0.2830286016
379	0.2820259931
380	0.2815638498
381	0.2806546738
382	0.2801859105
383	0.2793740552
384	0.2787039251
385	0.2774657828
386	0.2766401023
387	0.2759923492
388	0.2754117627
389	0.2746794662
390	0.2740988596
391	0.2735119722
392	0.2729627567
393	0.2722669507
394	0.2717870632
395	0.2713377609
396	0.270386793
397	0.2697008161
398	0.2690267421
399	0.2683203149
400	0.2674198934
401	0.2670438082
402	0.2666028972
403	0.2659436517
404	0.26521495
405	0.2642719274
406	0.2633873973
407	0.2629096024
408	0.2622419741
409	0.2617498796
410	0.2611387285
411	0.2605305672
412	0.2600496895
413	0.2593108015
414	0.2584720297
415	0.2580471106
416	0.2574277808
417	0.2568685905
418	0.256543901
419	0.2558647174
420	0.2551939996
421	0.2543937847
422	0.2537304116
423	0.2532757328
424	0.2527367801
425	0.2519101805
426	0.2513472894
427	0.2507819043
428	0.2502410024
429	0.2494708217
430	0.2490963604
431	0.2485100079
432	0.2482330618
433	0.2477253624
434	0.2471012568
435	0.2466202503
436	0.2460645755
437	0.2454465825
438	0.2448617173
439	0.2443228806
440	0.2437038567
441	0.2431176692
442	0.2424011106
443	0.2420312985
444	0.2416435814
445	0.2410516068
446	0.2407246566
447	0.2404051651
448	0.2399411277
449	0.2395097651
450	0.2388199017
451	0.2384131801
452	0.2379512514
453	0.2376880782
454	0.2372767181
455	0.2369841223
456	0.2364764935
457	0.2359670797
458	0.2355344436
459	0.2350222512
460	0.2346721537
461	0.2343871461
462	0.2337160296
463	0.2331395568
464	0.232795617
465	0.2323259957
466	0.2319675182
467	0.2317114768
468	0.2312619193
469	0.2309470704
470	0.2305203429
471	0.230092477
472	0.2293424503
473	0.2289484602
474	0.22826711
475	0.2279586153
476	0.227536293
477	0.2272311358
478	0.2265912943
479	0.2261846936
480	0.2258120908
481	0.2254648864
482	0.225017236
483	0.2248227268
484	0.2246259287
485	0.2244432561
486	0.223843523
487	0.223542802
488	0.2228676408
489	0.222395538
490	0.2217164964
491	0.2212323786
492	0.2209593235
493	0.220625106
494	0.2202912122
495	0.2198526381
496	0.2196125958
497	0.2190258854
498	0.2187521033
499	0.2184637742
500	0.2178430535
501	0.2174022908
502	0.2169500326
503	0.2164394916
504	0.2162584613
505	0.2157572313
506	0.2151831114
507	0.214684973
508	0.2144076739
509	0.213897393
510	0.2135551304
511	0.2131998818
512	0.2127201938
513	0.2121614057
514	0.2116461409
515	0.2114474308
516	0.2110880237
517	0.2106620204
518	0.2101973545
519	0.2098280785
520	0.2095113986
521	0.2092271254
522	0.2088990043
523	0.2086389496
524	0.2083684898
525	0.2080718224
526	0.207727379
527	0.2074121383
528	0.2070083469
529	0.2065657059
530	0.2061221593
531	0.2058609294
532	0.2053112045
533	0.2049569225
534	0.2047662784
535	0.2045114832
536	0.2040464932
537	0.2037394427
538	0.2035600513
539	0.2031234015
540	0.2028513168
541	0.2025685685
542	0.2022637591
543	0.2019931385
544	0.2015288595
545	0.2010961874
546	0.2006942605
547	0.2002848014
548	0.2000096297
549	0.1997714093
550	0.1994294752
551	0.1989899207
552	0.1985906263
553	0.1982059392
554	0.1980022823
555	0.1976080077
556	0.1971172716
557	0.1969061609
558	0.196752663
559	0.1961850734
560	0.1957866687
561	0.1955328242
562	0.195136393
563	0.1948346362
564	0.1946720628
565	0.194467535
566	0.1941611835
567	0.1937633628
568	0.1935456339
569	0.1931275354
570	0.1928524522
571	0.1925209485
572	0.1922037158
573	0.1919748123
574	0.1915329326
575	0.1911607965
576	0.1908339276
577	0.1907395353
578	0.1902113486
579	0.1898552687
580	0.1895580771
581	0.1892641328
582	0.1888582233
583	0.1885117833
584	0.1880787972
585	0.1879261605
586	0.187797329
587	0.1876398093
588	0.1872104709
589	0.186988309
590	0.1868079456
591	0.1866509508
592	0.1863120797
593	0.1859706544
594	0.1855122019
595	0.1852174936
596	0.1849575449
597	0.1845802587
598	0.1841924812
599	0.1840024681
600	0.1837336258
601	0.183571017
602	0.1833143735
603	0.1830014987
604	0.1826119495
605	0.1823382733
606	0.1819507528
607	0.1816074189
608	0.1812912527
609	0.1809891107
610	0.1806691304
611	0.1804171492
612	0.1800007194
613	0.1796325042
614	0.1793063523
615	0.1791321233
616	0.1787524681
617	0.1784149686
618	0.178083067
619	0.1778530219
620	0.177543274
621	0.1773396753
622	0.1770937395
623	0.1768930373
624	0.1766815412
625	0.1765581497
626	0.176414073
627	0.1760997331
628	0.1758366365
629	0.1754755274
630	0.1753334535
631	0.1752046815
632	0.1750435448
633	0.1746072424
634	0.1744833329
635	0.1741292491
636	0.1739102319
637	0.1737615436
638	0.173589247
639	0.1734651671
640	0.173147556
641	0.1727932469
642	0.1726669628
643	0.1724546083
644	0.1721140061
645	0.1719310992
646	0.171680429
647	0.1714242542
648	0.1712942382
649	0.170999572
650	0.1706885022
651	0.1705758729
652	0.1704580957
653	0.1701031752
654	0.1697665761
655	0.1695300885
656	0.1693567191
657	0.1690882868
658	0.1688848283
659	0.1687706571
660	0.168518987
661	0.1683381447
662	0.1681012157
663	0.1677653945
664	0.1676553909
665	0.1674240033
666	0.1671639022
667	0.1668072464
668	0.166514722
669	0.1662832904
670	0.1660212898
671	0.1658973166
672	0.1656175894
673	0.1655086641
674	0.1651914377
675	0.1649779386
676	0.1647537307
677	0.164498295
678	0.1643352482
679	0.1642305569
680	0.1639437809
681	0.16387347
682	0.1635344128
683	0.1633479791
684	0.1630164742
685	0.1629007193
686	0.162805814
687	0.1627055148
688	0.1624941464
689	0.162322687
690	0.16195805
691	0.1617716669
692	0.1615336418
693	0.1612561225
694	0.1609156341
695	0.1607790702
696	0.1605863011
697	0.1602301901
698	0.1599377452
699	0.1596499533
700	0.1594240854
701	0.1592611492
702	0.1591347407
703	0.1588645015
704	0.1587479607
705	0.1584878371
706	0.1583725741
707	0.1581278002
708	0.1578466547
709	0.1574881613
710	0.1574300199
711	0.1570856686
712	0.1569859303
713	0.1568308348
714	0.1565888962
715	0.1564827686
716	0.1563864347
717	0.15609293
718	0.155853816
719	0.1555512181
720	0.1552605861
721	0.1551361984
722	0.154909299
723	0.1546289752
724	0.1543609395
725	0.1541998794
726	0.1539882425
727	0.1538689372
728	0.1536410975
729	0.1534128677
730	0.153138217
731	0.1530087176
732	0.1528484152
733	0.1526305306
734	0.1524380016
735	0.1521471338
736	0.1519718393
737	0.151763135
738	0.1516303593
739	0.1513927168
740	0.1510868484
741	0.1507873719
742	0.1506126375
743	0.1503212361
744	0.1500817042
745	0.1498937103
746	0.1496675767
747	0.149570243
748	0.149388277
749	0.1491553589
750	0.1489687281
751	0.1488112288
752	0.148569299
753	0.1483356923
754	0.1480762707
755	0.1478383967
756	0.1475832691
757	0.1473960533
758	0.1472100576
759	0.147065561
760	0.146892378
761	0.1467635359
762	0.1465679755
763	0.1464191347
764	0.146207632
765	0.1460084631
766	0.1457793232
767	0.1454842968
768	0.1453503036
769	0.1450662433
770	0.144926832
771	0.1446554136
772	0.1445377308
773	0.1443213904
774	0.1441248317
775	0.1440636606
776	0.143950255
777	0.143688253
778	0.1435692023
779	0.1434245028
780	0.1432902857
781	0.1431668586
782	0.1429047787
783	0.1427435272
784	0.1426208868
785	0.1423745699
786	0.1422248581
787	0.1420415146
788	0.1419123339
789	0.1416828431
790	0.1415868102
791	0.1413739209
792	0.1411753892
793	0.141042126
794	0.1409199866
795	0.1407290782
796	0.1406058564
797	0.1404757153
798	0.1403598672
799	0.1402251968
800	0.1399871201
801	0.1397980207
802	0.1396993389
803	0.1395959582
804	0.1394391964
805	0.1393503078
806	0.139222714
807	0.1391255689
808	0.1390119333
809	0.1388978236
810	0.1386199409
811	0.1385043627
812	0.1382947756
813	0.138230094
814	0.1380202246
815	0.137926701
816	0.1378190721
817	0.1376249067
818	0.1373861624
819	0.1373409611
820	0.137100196
821	0.1368969364
822	0.1366852001
823	0.1364893342
824	0.1363347427
825	0.1362128977
826	0.1361378125
827	0.1360047024
828	0.1359327017
829	0.1358128224
830	0.1357925608
831	0.1357029429
832	0.1354933636
833	0.1353144292
834	0.1351781174
835	0.1350335176
836	0.134853519
837	0.1347014554
838	0.1346005095
839	0.134417
840	0.1342794014
841	0.134077031
842	0.1339070314
843	0.13377477
844	0.1335843364
845	0.1334116273
846	0.1333054444
847	0.1332018459
848	0.133033979
849	0.1327764462
850	0.1326405015
851	0.1324555665
852	0.1322462874
853	0.1321918315
854	0.131924218
855	0.1317921602
856	0.1315845644
857	0.1314609869
858	0.1312148527
859	0.1309812205
860	0.1309083046
861	0.1307388043
862	0.1306335752
863	0.1304739737
864	0.1303008542
865	0.1301389258
866	0.1299876292
867	0.1298545648
868	0.1296435676
869	0.1295900081
870	0.1294692792
871	0.1293088717
872	0.1292167308
873	0.1291658235
874	0.129020318
875	0.1289884386
876	0.1288623086
877	0.1287162034
878	0.1285207972
879	0.1284378873
880	0.1282580791
881	0.1281358598
882	0.1279951102
883	0.1278066323
884	0.127678639
885	0.1275742019
886	0.1274308953
887	0.1272124226
888	0.1270978576
889	0.1269170856
890	0.1268244899
891	0.1266499922
892	0.126475639
893	0.1263123109
894	0.1261875196
895	0.1260285587
896	0.1259449479
897	0.1258557032
898	0.1256980906
899	0.1256441436
900	0.1254446665
901	0.1252246571
902	0.1251670052
903	0.1251267706
904	0.1250792234
905	0.1249722982
906	0.1247510364
907	0.1246400895
908	0.1245081403
909	0.1242805634
910	0.1240982323
911	0.1239671485
912	0.1239217119
913	0.1237876154
914	0.1236724019
915	0.1235407657
916	0.1234832482
917	0.1233509383
918	0.1231455473
919	0.1230265791
920	0.1228763624
921	0.1226673498
922	0.1225934938
923	0.1223134332
924	0.1222059256
925	0.1220445668
926	0.1219062975
927	0.1218152238
928	0.1217795832
